#
#
# MWRandItem Base Item Data File - May 2003
#		Dave Humphrey, uesp@sympatico.ca
#
# This data file holds the unenchanted, base item data used for for the random
# generation of items with MWRandItem. The format is as follows:
#
# Comments		- Anything after a '#' character on a line is ignored
# Strings		- Values on the right side of the '=' can be surrounded with double
#				  quote characters ("") if desired.#
# 'Item'		- Start an item record
# 'Icon'		- The inventory icon picture filename string.
# 'Model'		- The NIF model filename string.
# 'Name'		- The item name string.
# 'ItemType'	- Base item type which can currently be
#						"Weapon"
#						"Armor"
#						"Clothing"
# 'BasePrice'	- The base item value in gold pieces (1 to 1,000,000).
# 'ItemLevel'	- The item level (1 to 100). Higher level items are more powerful
#			      and thus will be rarer.
# 'Weight'		- The item's base weight (0.1 to 50.0).
# 'EnchantPts'  - The object's enchant points (0 to 200).
# 'Reach'		- The weapon's reach (0.1 to 2.0). Higher values indicate a larger reach.
# 'Speed'		- The weapon's speed (0.1 to 2.0). Higher values indicate a faster weapon.
# 'MinChop'
# 'MaxChop'
# 'MinSlash'
# 'MaxSlash'
# 'MinThrust'
# 'MaxThrust'	- Weapon damages (1 to 255).
# 'Condition'	- The weapon or armor condition/health value (1 to 65535).
# 'Type'		- The weapon, armor, or clothing type. Valid values are:
#						"Short Blade"
#						"Long Blade"
#						"Long Blade, 2-Hand"
#						"Blunt"
#						"Blunt, 2-Close"
#						"Blunt, 2-Wide"
#						"Spear"
#						"Axe"
#						"Axe, 2-Hand"
#						"Bow"
#						"Crossbow"
#						"Thrown"
#						"Arrow"
#						"Bolt"
#						"Helmet"
#						"Cuirass"
#						"Left Pauldron"
#						"Right Pauldron"
#						"Greaves"
#						"Boots"
#						"Left Gauntlet"
#						"Right Gauntlet"
#						"Shield"
#						"Left Bracer"
#						"Right Bracer"
#						"Pants"
#						"Shoes"
#						"Shirt"
#						"Belt"
#						"Robe"
#						"R. Glove"
#						"L. Glove"
#						"Skirt"
#						"Ring"
#						"Amulet"
# 'IgnoreResist' - Ignore normal weapon resistance. Boolean flag ("true"/"false").
# 'MHead'
# 'MHair'
# 'MNeck'
# 'MChest'
# 'MGroin'
# 'MSkirt'
# 'MRightHand'
# 'MLeftHand'
# 'MRightWrist'
# 'MLeftWrist'
# 'MShield'
# 'MRightForeArm'
# 'MLeftForeArm'
# 'MRightUpperArm'
# 'MLeftUpperArm'
# 'MRightFoot'
# 'MLeftFoot'
# 'MRightAnkle'
# 'MLeftAnkle'
# 'MRightKnee'
# 'MLeftKnee'
# 'MRightUpper Leg'
# 'MLeftUpper Leg'
# 'MRightPauldron'
# 'MLeftPauldron'
# 'MWeapon'
# 'MTail'		- Male clothing and weapon body part objects.
# 'FHead'
# 'FHair'
# 'FNeck'
# 'FChest'
# 'FGroin'
# 'FSkirt'
# 'FRightHand'
# 'FLeftHand'
# 'FRightWrist'
# 'FLeftWrist'
# 'FShield'
# 'FRightForeArm'
# 'FLeftForeArm'
# 'FRightUpperArm'
# 'FLeftUpperArm'
# 'FRightFoot'
# 'FLeftFoot'
# 'FRightAnkle'
# 'FLeftAnkle'
# 'FRightKnee'
# 'FLeftKnee'
# 'FRightUpperLeg'
# 'FLeftUpperLeg'
# 'FRightPauldron'
# 'FLeftPauldron'
# 'FWeapon'
# 'FTail'		- Female clothing and weapon body part objects.
# 'End'			- Ends an item record
#

Item
	ItemType = Armor
	Name = "Chitin Cuirass"
	Icon = "a\TX_Chitin_curaiss.tga"
	Model = "a\A_M_Chitin_Cuirass_GND.nif"
	BasePrice = 45
	ItemLevel = 1
	Weight = 6
	EnchantPts = 100
	Armor = 10
	Type = "Cuirass"
	Condition = 300
	MChest = "a_m_chitin_chest"
End
Item
	ItemType = Armor
	Name = "Chitin Left Pauldron"
	Icon = "a\TX_Chitin_pauldron.tga"
	Model = "a\A_M_Chitin_UA_Pauldron.nif"
	BasePrice = 16
	ItemLevel = 1
	Weight = 2
	EnchantPts = 10
	Armor = 10
	Type = "Left Pauldron"
	Condition = 100
	MLeftUpperArm = "a_m_chitin_ua_pauldron"
	MLeftPauldron = "A_M_Chitin_pauldron_CL"
End
Item
	ItemType = Armor
	Name = "Chitin Right Pauldron"
	Icon = "a\TX_Chitin_pauldron.tga"
	Model = "a\A_M_Chitin_UA_Pauldron.nif"
	BasePrice = 16
	ItemLevel = 1
	Weight = 2
	EnchantPts = 10
	Armor = 10
	Type = "Right Pauldron"
	Condition = 100
	MRightUpperArm = "a_m_chitin_ua_pauldron"
	MRightPauldron = "A_M_Chitin_pauldron_CL"
End
Item
	ItemType = Armor
	Name = "Chitin Boots"
	Icon = "a\TX_Chitin_boot.tga"
	Model = "a\A_M_Chitin_Boot_GND.nif"
	BasePrice = 13
	ItemLevel = 1
	Weight = 6
	EnchantPts = 44
	Armor = 10
	Type = "Boots"
	Condition = 100
	MLeftFoot = "a_m_chitin_f_boots"
	MLeftAnkle = "a_m_chitin_a_boot"
	MRightFoot = "a_m_chitin_f_boots"
	MRightAnkle = "a_m_chitin_a_boot"
End
Item
	ItemType = Armor
	Name = "Chitin Greaves"
	Icon = "a\TX_Chitin_greaves.tga"
	Model = "a\A_M_Chitin_Greaves_GND.nif"
	BasePrice = 29
	ItemLevel = 1
	Weight = 5.4
	EnchantPts = 13
	Armor = 10
	Type = "Greaves"
	Condition = 100
	MGroin = "a_m_chitin_g_greaves"
	MLeftUpperLeg = "a_m_chitin_ul_greaves"
	MRightUpperLeg = "a_m_chitin_ul_greaves"
End
Item
	ItemType = Armor
	Name = "Chitin Helm"
	Icon = "a\TX_Chitin_helmet.tga"
	Model = "a\A_M_Chitin_Helmet.nif"
	BasePrice = 19
	ItemLevel = 1
	Weight = 1
	EnchantPts = 125
	Armor = 10
	Type = "Helmet"
	Condition = 100
	MHead = "a_m_chitin_helmet"
End
Item
	ItemType = Armor
	Name = "Chitin Left Gauntlet"
	Icon = "a\TX_Chitin_gauntlet.tga"
	Model = "a\A_M_Chitin_Gauntlet_GND.nif"
	BasePrice = 9
	ItemLevel = 1
	Weight = 1
	EnchantPts = 100
	Armor = 10
	Type = "Left Gauntlet"
	Condition = 50
	MLeftHand = "a_m_chitin_gauntlet"
End
Item
	ItemType = Armor
	Name = "Chitin Right Gauntlet"
	Icon = "a\TX_Chitin_gauntlet.tga"
	Model = "a\A_M_Chitin_Gauntlet_GND.nif"
	BasePrice = 9
	ItemLevel = 1
	Weight = 1
	EnchantPts = 100
	Armor = 10
	Type = "Right Gauntlet"
	Condition = 50
	MRightHand = "a_m_chitin_gauntlet"
End
Item
	ItemType = Armor
	Name = "Indoril Shield"
	Icon = "a\Tx_Indoril_shield.tga"
